|,|__ax,|__ay,|__az,|__gx,|__gy,|__gz,|__h,ACC_N,GYRO,EA,EG,label
20:06:23 029728,-6.6,-2.4,6.7,-0.7,0.6,-0.1,90,9.706183596,0.92736185,0.583095189,0.92736185,0
20:06:23 620637,-6.2,-2.7,7,0,0,0,90,9.732933782,0,0.223606798,0,0
20:06:23 988631,-6.2,-2.5,7.1,0,0,0,88,9.751922887,0,0.223606798,0,0
20:06:25 308816,-6.4,-2.5,7.2,0,0,0,88,9.952386648,0,0.424264069,0.1,0
20:06:25 407110,-6.4,-2.2,6.9,0.1,0,0,88,9.664884893,0.1,0.346410162,0,0
20:06:25 634955,-6.2,-2.4,7.1,0.1,0,0,88,9.726767192,0.1,0.244948974,0.1,0
20:06:26 293351,-6.3,-2.6,7,0,0,0,87,9.769851585,0,0.489897949,0,0
20:06:26 694810,-6.1,-2.4,7.4,0,0,0,87,9.885848471,0,36.62403582,0.141421356,0
20:06:27 295283,29.5,-11,7.4,-0.1,-0.1,0,87,32.34207786,0.141421356,36.05038141,0,1
20:06:27 854245,-5.8,-3.7,6.9,-0.1,-0.1,0,87,9.743715924,0.141421356,1.655294536,0.316227766,0
20:06:28 158289,-6.5,-2.2,6.9,-0.1,0.2,0.1,87,9.731392501,0.244948974,0.316227766,0.244948974,0
20:06:29 075524,-6.5,-2.3,7.2,0,0,0,86,9.9689518,0,0.223606798,0,0
20:06:29 304009,-6.5,-2.2,7,0,0,0,86,9.802550688,0,0.1,0,0
20:06:29 959682,-6.6,-2.2,7,0,0,0,86,9.869143833,0,0.591607978,0,0
20:06:30 600385,-6.1,-2.1,7.3,0,0,0,86,9.742176348,0,1.204159458,0.2,0
20:06:31 172073,-5.2,-1.3,7.3,0,-0.2,0,86,9.056489386,0.2,32.30665566,0,0
20:06:31 552915,13.2,-21.7,-9.7,0,-0.2,0,86,27.18860055,0.2,32.79679862,4.64865572,1
20:06:32 235843,-3.3,-0.4,9,-0.6,-2.1,4.2,86,9.594269123,4.733920151,1.252996409,0,0
20:06:32 711164,-4.5,-0.6,8.7,-0.6,-2.1,4.2,86,9.81325634,4.733920151,1.256980509,4.69041576,1
20:06:33 283764,-3.5,-1.3,9,0,-0.1,0,85,9.743715924,0.1,0.424264069,0.1,0
20:06:33 870203,-3.6,-0.9,8.9,0,0,0,83,9.642613754,0,0.141421356,0,0
20:06:34 400865,-3.6,-0.8,9,0,0,0,83,9.726253133,0,0.331662479,0.141421356,0
20:06:35 071255,-3.3,-0.9,9.1,0,-0.1,0.1,81,9.721625379,0.141421356,2.603843313,0,0
20:06:35 584531,-1,0.1,9.8,0,-0.1,0.1,81,9.85139584,0.141421356,0.574456265,0.1,0
20:06:35 855599,-1.4,-0.3,9.7,0,0,0.1,80,9.805100713,0.1,10.35470907,0,0
20:06:36 620277,8.9,-1.1,9,0,0,0.1,80,12.70511708,0.1,11.59223878,4.549725266,1
20:06:37 162286,-1.3,4.2,10.5,0.2,-3.5,3,80,11.38332113,4.614108798,1.7,0,0
20:06:37 753231,-1.4,3,9.3,0.2,-3.5,3,80,9.871676656,4.614108798,1.104536102,4.468780594,0
20:06:38 260622,-0.6,3.7,9,0.2,-0.1,0.1,80,9.749358953,0.244948974,0.3,0,0
20:06:38 720982,-0.6,3.7,9.3,0.2,-0.1,0.1,80,10.02696365,0.244948974,0.223606798,0.141421356,0
20:06:39 598593,-0.5,3.7,9.1,0.1,0,0.1,80,9.836157786,0.141421356,0.412310563,0.141421356,0
20:06:39 754685,-0.7,4,8.9,0,0.1,0.1,79,9.782637681,0.141421356,0.141421356,0,0
20:06:40 446227,-0.6,4.1,8.9,0,0.1,0.1,79,9.817331613,0.141421356,0.374165739,0.141421356,0
20:06:40 947353,-0.3,4,9.1,0,0,0,80,9.944847912,0,1.135781669,0,0
20:06:41 518808,-1.3,3.5,9.3,0,0,0,80,10.02147694,0,0.374165739,0.374165739,0
20:06:42 020964,-1,3.3,9.4,-0.1,-0.2,-0.3,80,10.0124922,0.374165739,0.640312424,0,0
20:06:42 639053,-1.2,2.7,9.5,-0.1,-0.2,-0.3,80,9.948869282,0.374165739,0.3,0.374165739,0
20:06:43 055905,-1.1,2.9,9.3,0,0,0,80,9.803570778,0,0.316227766,0,0
20:06:43 765928,-1.4,3,9.3,0,0,0,80,9.871676656,0,0.141421356,0,0
20:06:44 301173,-1.5,2.9,9.3,0,0,0,80,9.856469956,0,0.141421356,0,0
20:06:44 936852,-1.5,2.8,9.4,0,0,0,80,9.922197337,0,0.1,0,0
20:06:45 083639,-1.5,2.8,9.3,0,0,0,80,9.827512401,0,0.141421356,0,0
20:06:45 854186,-1.5,2.9,9.2,0,0,0,80,9.762171889,0,47.52451999,0,1
20:06:46 417943,36.5,-19.8,-8.1,0,0,0,80,42.30720979,0,49.63516898,3.777565354,1
20:06:46 924574,-2.5,5,10,-0.9,-1.1,3.5,80,11.45643924,3.777565354,2.785677655,0,0
20:06:47 380482,-2.5,2.4,9,-0.9,-1.1,3.5,80,9.644169223,3.777565354,0.781024968,3.195309062,1
20:06:48 137127,-2.1,1.8,9.3,-0.3,0.1,0.6,80,9.702576977,0.678232998,1.36381817,0,0
20:06:48 671448,-0.8,2.2,9.4,-0.3,0.1,0.6,80,9.687104831,0.678232998,0.447213595,0.360555128,0
20:06:49 209493,-0.8,2.6,9.6,0,0.1,0.4,80,9.977975747,0.412310563,0.547722558,0.640312424,0
20:06:49 764124,-0.7,3.1,9.4,0.1,-0.1,-0.2,80,9.922701245,0.244948974,0.141421356,0,0
20:06:50 230349,-0.7,3,9.3,0.1,-0.1,-0.2,80,9.796938297,0.244948974,0.1,0.244948974,0
