"|","|__acc","|__gyro"
"01:34:10 752056","","174.5071746904141"
"01:34:11 354009","87.659649833392",""
"01:34:11 857968","","106.78400662979584"
"01:34:12 329886","95.7122416661623",""
"01:34:12 612087","","16.38706412800093"
"01:34:13 354739","96.73557692140548",""
"01:34:13 798236","","1.9180334618840789"
"01:34:14 350140","94.14863992787741",""
"01:34:14 562243","","0.1815626455936581"
"01:34:15 360502","94.70021713633741",""
"01:34:15 724528","","2.906256309506716"
"01:34:16 347515","92.18448616515525",""
"01:34:16 777756","","2.231825306243991"
"01:34:17 459093","94.00691394611385",""
"01:34:17 895730","","0.011557597158571298"
"01:34:18 334842","125.58965454243389",""
"01:34:18 786342","","987.9225918927486"
"01:34:19 215165","75.37950074027412",""
"01:34:19 569464","","2828.0566404302344"
"01:34:20 195057","99.9476557236103",""
"01:34:20 450752","","60.51979214357016"
"01:34:21 171413","88.4227810000184",""
"01:34:21 477096","","137.33365093805787"
"01:34:22 148454","95.87901210561267",""
"01:34:22 624168","","8.897861396592816"
"01:34:23 326456","96.7147062578897",""
"01:34:23 526883","","5.004335171140156"
"01:34:24 174793","94.72040673925312",""
"01:34:24 644230","","0.000332486594743386"
"01:34:25 164559","96.32579441072266",""
"01:34:25 400926","","1.3731265151618572"
"01:34:26 194747","94.67744718372069",""
"01:34:26 583521","","0.7264525708178553"
"01:34:27 167324","99.78652959120882",""
"01:34:27 631618","","13.902293403853037"
"01:34:28 177746","93.2411131558556",""
"01:34:28 607195","","1632.8468153278027"
"01:34:29 157640","101.17999736273214",""
"01:34:29 396860","","602.4554409273005"
"01:34:30 159490","94.16657584958921",""
"01:34:30 365941","","0.037243368908093544"
"01:34:31 146400","98.64854404220205",""
"01:34:31 384982","","500.66351086837676"
"01:34:32 148826","94.62953569764431",""
"01:34:32 391921","","72.63217255169184"
"01:34:33 165425","97.84690034996584",""
"01:34:33 386789","","9.547191963499245"
"01:34:34 150104","97.52838834798877",""
"01:34:34 575763","","22.983549665188548"
"01:34:35 006778","95.15399526614237",""
"01:34:35 453863","","0.7264707270824147"
"01:34:36 009174","95.85525109367427",""
"01:34:36 415477","","4.540692335463973"
"01:34:37 182447","97.45395156260656",""
"01:34:37 408142","","4.096566199066729"
"01:34:38 017910","88.33037827926182",""
"01:34:38 411068","","13066.622228075514"
"01:34:38 980282","78.45181410123132",""
"01:34:39 423860","","33.49322692149599"
"01:34:39 977894","111.87579433871815",""
"01:34:40 230218","","2217.7580911586274"
"01:34:41 038664","128.98323317493123",""
"01:34:41 383477","","1057.0452902955967"
"01:34:41 978982","93.83600135683355",""
"01:34:42 442743","","42.254673039224144"
"01:34:43 218164","100.9378128142398",""
"01:34:43 501369","","171.69839390686047"
"01:34:43 982087","95.38371969708714",""
"01:34:44 252934","","8.286115465636612"
"01:34:44 995841","94.82888284285036",""
"01:34:45 551819","","1.6389957698429498"
"01:34:45 971981","93.29949182730434",""
"01:34:46 246280","","11.631636950635766"
"01:34:46 982372","97.62815026238604",""
"01:34:47 392924","","15.546021426484003"
"01:34:47 858619","94.66238505917954",""
"01:34:48 069674","","9605.538664240936"
"01:34:48 818187","62.664546702829284",""
"01:34:49 055134","","6505.517373552424"
"01:34:49 811845","97.03900529789826",""
"01:34:50 036282","","524.74912006873"
"01:34:50 818291","75.79595169135155",""
"01:34:51 237723","","590.0560716946429"
"01:34:51 863874","95.79087892714779",""
"01:34:52 226279","","36.88989424151441"
"01:34:52 802136","94.36096754962",""
"01:34:53 077432","","12.358359775687859"
"01:34:53 862334","95.14607190055631",""
"01:34:54 237655","","0.5571125463684439"
"01:34:54 831068","93.95510868944075",""
"01:34:55 276876","","10.922355969764794"
"01:34:55 786004","95.22192882739364",""
"01:34:56 093157","","8.900960679693526"
"01:34:56 777882","95.91392959037148",""
"01:34:57 242627","","1.3734862361534397"
"01:34:57 873425","95.08483454617817",""
"01:34:58 025105","","5.493125689908084"
"01:34:58 771533","62.99182318464227",""
"01:34:59 216452","","1904.1881289912217"
"01:34:59 788046","97.51989027996842",""
"01:35:00 240495","","29.838431627636965"
"01:35:00 827538","97.01136134064564",""
"01:35:01 002071","","26.15964557227926"
"01:35:01 839299","103.437759419734",""
"01:35:01 999877","","1.930620124683628"
"01:35:02 816866","96.14637095180387",""
"01:35:03 173896","","1.6350193426887927"
"01:35:03 627489","95.80594162084708",""
"01:35:04 075649","","1.3739129571349622"
"01:35:04 654544","95.41778829159102",""
"01:35:04 852064","","31.878347149513502"
"01:35:05 654702","95.66988415114247",""
"01:35:05 868696","","2.9058068789718163"
"01:35:06 628522","97.79997264716985",""
"01:35:07 091127","","9.544870046270262"
"01:35:07 636193","101.1000890063815",""
"01:35:08 062373","","371.8692770695352"
"01:35:08 648976","69.06425060753918",""
"01:35:09 090304","","769.0466972421018"
"01:35:09 653784","76.76872905755772",""
"01:35:09 875192","","18.960930321942215"
"01:35:10 633628","110.16627358630376",""
"01:35:10 889943","","8.906880064882898"
"01:35:11 492120","96.06997864154073",""
"01:35:11 726494","","67.2949347826443"
"01:35:12 629541","96.65296919942011",""
"01:35:13 082090","","12.360594313861839"
"01:35:13 662706","101.70806767731938",""
"01:35:13 871343","","46.49043210304171"
"01:35:14 484838","95.22138668751177",""
"01:35:14 913682","","5.007022438491731"
"01:35:15 469901","97.16189755803953",""
"01:35:15 696068","","3.2805295308789937"
"01:35:16 447643","96.28127534734358",""
"01:35:16 887735","","4.5392579153858605"
"01:35:17 483042","95.55736869840803",""
"01:35:17 716134","","0.2861269727618492"
